Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-09-05,33.71,33.91,33.055,33.195,-0.413,-1.23%,16034,131656
2025-09-04,33.185,33.84,32.985,33.608,0.277,+0.83%,16335,131806
2025-09-03,33.215,33.585,32.7,33.331,0.289,+0.87%,22238,126482
2025-09-02,33.67,33.91,32.86,33.042,-0.239,-0.72%,22643,123881
2025-09-01,33.04,33.62,32.62,33.281,0.452,+1.38%,12414,117221
2025-08-29,32.78,33.165,32.5,32.829,-0.058,-0.18%,21716,116368
2025-08-28,33.5,33.505,32.31,32.887,-0.87,-2.58%,29553,114187
2025-08-27,34.505,34.61,33.51,33.757,-0.793,-2.30%,16877,113835
2025-08-26,35.04,35.04,34.405,34.55,-0.442,-1.26%,12851,114939
2025-08-25,34.65,35.12,34.25,34.992,0.162,+0.47%,4710,115229
2025-08-22,34.755,35,34.395,34.83,0.186,+0.54%,19614,115894
2025-08-21,33.795,34.81,32.995,34.644,1.105,+3.29%,19614,115894
2025-08-20,32.795,33.87,32.795,33.539,0.579,+1.76%,16684,116394
2025-08-19,32.575,33.18,32.525,32.96,-0.021,-0.06%,12513,116051
2025-08-18,32.49,33.15,32.1,32.981,0.196,+0.60%,14210,116138
2025-08-15,34.005,34.065,32.575,32.785,-1.115,-3.29%,17122,116604
2025-08-14,34.395,34.45,33.65,33.9,-0.36,-1.05%,13709,116676
2025-08-13,34.36,34.53,34.155,34.26,0.118,+0.35%,12389,116272
2025-08-12,34.78,34.78,34.015,34.142,-0.505,-1.46%,8223,115876
2025-08-11,33.985,34.82,33.94,34.647,0.461,+1.35%,9978,115240
2025-08-08,34.54,35.155,33.935,34.186,-0.551,-1.59%,15041,116229
2025-08-07,34.82,34.98,34.605,34.737,-0.371,-1.06%,14517,114951
2025-08-06,35.99,36.03,34.975,35.108,-1.033,-2.86%,12785,114243
2025-08-05,35.805,36.215,35.635,36.141,0.056,+0.16%,14257,112758
2025-08-04,35.72,36.165,35.455,36.085,0.28,+0.78%,10874,110639
2025-08-01,36.95,36.95,35.6,35.805,-1.14,-3.09%,12434,110110
2025-07-31,36.925,37.12,36.3,36.945,0.035,+0.09%,10831,109691
2025-07-30,37.035,37.365,35.9,36.91,0.421,+1.15%,15992,108835
2025-07-29,35.525,36.655,35.525,36.489,1.027,+2.90%,17284,107562
2025-07-28,35.165,35.705,34.62,35.462,0.508,+1.45%,14347,107698
2025-07-25,34.95,35.165,34.35,34.954,0.218,+0.63%,14096,107358
2025-07-24,34.83,35.295,34.455,34.736,-0.097,-0.28%,26718,108684
2025-07-23,35.36,35.75,34.75,34.833,-0.288,-0.82%,16063,106975
2025-07-22,35.27,35.465,34.98,35.121,-0.048,-0.14%,12306,106135
2025-07-21,35.565,35.795,35.12,35.169,-0.492,-1.38%,11884,106659
